round,ballots_exhausted,value_exhausted_num,value_exhausted_den
435,180,180,1
437,168,34623792,287723
438,84,6243426,115141
440,41,4849767,278825
441,6,193720,113599
442,14,860118,221519
443,46,1730290,279549
444,19,310498,341365
445,112,112,1
447,84,17311896,287723
448,97,14419341,230282
450,14,1656018,278825
451,2,193720,340797
452,8,491496,221519
453,16,601840,279549
454,3,49026,341365
455,1184,16373536,339013
456,74898,192487860,104857
457,419555,501619958,125057
458,57315,57315,1
459,776,25122515,42578
460,596,122832024,287723
461,1476,109705914,115141
462,738,284499,740
463,154,18216198,278825
464,549,17725380,113599
465,316,19414092,221519
466,137,5153255,279549
467,172895,565090018,68273
468,93993,1299829197,339013
469,29959,76994630,104857
470,205730,245970788,125057
